Time,Reading ID#,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:00:00,1,61.5,24.2,153,0,400,OFF,0
0:00:01,2,61.5,24.2,154,0,400,OFF,0
0:00:02,3,61.9,24.2,154,0,400,OFF,0
0:00:03,4,61.9,24.2,155,0,400,OFF,0
0:00:04,5,62,24.2,156,0,400,OFF,0
0:00:05,6,62,24.2,156,0,400,OFF,0
0:00:06,7,62.1,24.2,156,0,400,OFF,0
0:00:07,8,62.1,24.2,156,0,400,OFF,0
0:00:08,9,62,24.2,157,0,400,OFF,0
0:00:09,10,62,24.2,157,0,400,OFF,0
0:00:10,11,61.9,24.2,157,0,400,OFF,0
0:00:11,12,61.9,24.2,158,0,400,OFF,0
0:00:12,13,61.8,24.2,158,0,400,OFF,0
0:00:13,14,61.8,24.2,158,0,400,OFF,0
0:00:14,15,61.7,24.2,159,0,400,OFF,0
0:00:15,16,61.6,24.2,159,0,400,OFF,0
0:00:16,17,61.5,24.2,160,8,411,OFF,0
0:00:17,18,61.4,24.2,160,5,419,OFF,0
0:00:18,19,61.3,24.2,161,7,427,OFF,0
0:00:19,20,61.3,24.2,161,9,436,OFF,0
0:00:20,21,61.3,24.2,162,16,452,OFF,0
0:00:21,22,61.3,24.2,162,19,449,OFF,0
0:00:22,23,61.3,24.2,162,28,459,OFF,0
0:00:23,24,61.2,24.2,162,28,459,OFF,0
0:00:24,25,61.2,24.2,162,32,447,OFF,0
0:00:25,26,61.1,24.2,162,32,442,OFF,0
0:00:26,27,61.1,24.2,162,28,436,OFF,0
0:00:27,28,61.1,24.2,161,28,431,OFF,0
0:00:28,29,61.1,24.2,162,25,434,OFF,0
0:00:29,30,61.1,24.3,161,28,425,OFF,0
0:00:30,31,61.1,24.3,161,26,433,OFF,0
0:00:31,32,61.1,24.3,161,31,436,OFF,0
0:00:32,33,61.1,24.3,161,27,433,OFF,0
0:00:33,34,61,24.2,161,30,441,OFF,0
0:00:34,35,61,24.2,161,32,440,OFF,0
0:00:35,36,61,24.3,160,34,442,OFF,0
0:00:36,37,61,24.3,161,23,433,OFF,0
0:00:37,38,61,24.3,161,26,429,OFF,0
0:00:38,39,61,24.3,160,21,421,OFF,0
0:00:39,40,60.9,24.2,161,18,417,OFF,0
0:00:40,41,60.9,24.2,160,16,422,OFF,0
