Time,Reading ID,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status
11:50:28,1,61.6,21.6,81,0,400,OFF,0
11:50:29,2,61.6,21.6,82,0,400,OFF,0
11:50:30,3,61.7,21.7,81,0,400,OFF,0
11:50:31,4,61.7,21.7,81,0,400,OFF,0
11:50:32,5,61.7,21.6,81,0,400,OFF,0
11:50:33,6,61.7,21.6,82,0,400,OFF,0
11:50:34,7,61.7,21.6,81,0,400,OFF,0
11:50:35,8,61.7,21.6,82,0,400,OFF,0
11:50:36,9,61.7,21.6,81,0,400,OFF,0
11:50:37,10,61.7,21.6,81,0,400,OFF,0
11:50:38,11,61.8,21.6,81,0,400,OFF,0
11:50:39,12,61.8,21.6,82,0,400,OFF,0
11:50:40,13,61.8,21.7,82,0,400,OFF,0
11:50:41,14,61.8,21.7,82,0,400,OFF,0
11:50:42,15,61.8,21.6,82,0,400,OFF,0
11:50:43,16,61.8,21.6,82,2,400,OFF,0
11:50:44,17,61.8,21.6,82,1,400,OFF,0
11:50:45,18,61.8,21.6,82,3,405,OFF,0
11:50:46,19,61.8,21.6,81,1,416,OFF,0
11:50:47,20,61.8,21.6,82,2,413,OFF,0
11:50:48,21,61.9,21.6,82,1,408,OFF,0
11:50:49,22,61.9,21.6,82,2,407,OFF,0
11:50:50,23,61.9,21.6,81,5,412,OFF,0
11:50:51,24,61.9,21.6,82,7,403,OFF,0
11:50:52,25,61.9,21.6,82,4,400,OFF,0
11:50:53,26,61.9,21.6,82,3,400,OFF,0
11:50:54,27,61.9,21.6,82,7,406,OFF,0
11:50:55,28,61.9,21.6,81,5,400,OFF,0
11:50:56,29,62,21.7,82,1,400,OFF,0
11:50:57,30,62,21.7,82,1,400,OFF,0
11:50:58,31,61.9,21.7,82,1,402,OFF,0
11:50:59,32,61.9,21.7,81,3,400,OFF,0
11:51:00,33,61.9,21.7,82,0,404,OFF,0
11:51:01,34,61.9,21.7,82,3,400,OFF,0
11:51:02,35,61.8,21.7,81,5,409,OFF,0
11:51:03,36,61.8,21.7,82,2,409,OFF,0
11:51:04,37,61.8,21.7,81,1,408,OFF,0
11:51:05,38,61.8,21.7,82,0,410,OFF,0
11:51:06,39,61.8,21.7,81,3,407,OFF,0
11:51:07,40,61.7,21.7,81,3,415,OFF,0
11:51:08,41,61.7,21.7,81,5,411,OFF,0
11:51:09,42,61.6,21.7,81,4,403,OFF,0
11:51:10,43,61.5,21.7,81,9,415,OFF,0
11:51:11,44,61.4,21.7,81,3,415,OFF,0
11:51:12,45,61.4,21.7,81,7,414,OFF,0
11:51:13,46,61.3,21.8,81,6,408,OFF,0
11:51:14,47,61.3,21.8,81,7,412,OFF,0
11:51:15,48,61.2,21.8,81,7,410,OFF,0
11:51:16,49,61.2,21.8,81,2,404,OFF,0
11:51:17,50,61.1,21.8,81,1,409,OFF,0
11:51:18,51,61.1,21.8,81,6,412,OFF,0
11:51:19,52,60.9,21.8,81,14,417,OFF,0
11:51:20,53,60.9,21.8,81,10,417,OFF,0
11:51:21,54,60.9,21.8,81,11,412,OFF,0
11:51:22,55,60.9,21.8,81,6,411,OFF,0
11:51:23,56,60.9,21.8,81,11,415,OFF,0
11:51:24,57,60.9,21.8,81,11,420,OFF,0
11:51:25,58,60.9,21.9,81,12,409,OFF,0
11:51:26,59,60.9,21.9,81,11,408,OFF,0
11:51:27,60,60.9,21.9,81,6,406,OFF,0
11:51:28,61,60.9,21.9,81,9,414,OFF,0
11:51:29,62,60.9,21.9,81,9,415,OFF,0
11:51:30,63,60.9,21.9,81,5,407,OFF,0
11:51:31,64,60.9,21.9,81,9,410,OFF,0
11:51:32,65,60.9,21.9,81,10,406,OFF,0
11:51:33,66,60.9,21.9,81,6,406,OFF,0
11:51:34,67,60.9,21.9,81,9,412,OFF,0
11:51:35,68,60.8,21.9,81,7,406,OFF,0
11:51:36,69,60.8,21.9,81,11,406,OFF,0
11:51:37,70,60.7,21.9,81,8,409,OFF,0
11:51:38,71,60.7,21.9,80,7,408,OFF,0
11:51:39,72,60.7,21.9,81,5,400,OFF,0
11:51:40,73,60.7,21.9,81,7,404,OFF,0
11:51:41,74,60.7,21.9,81,5,402,OFF,0
11:51:42,75,60.7,21.9,81,7,408,OFF,0
11:51:43,76,60.6,21.9,81,10,406,OFF,0
11:51:44,77,60.6,21.9,81,8,411,OFF,0
11:51:45,78,60.6,21.9,81,7,407,OFF,0
11:51:46,79,60.6,21.9,81,5,406,OFF,0
11:51:47,80,60.6,21.9,81,9,420,OFF,0
11:51:48,81,60.7,21.9,81,5,406,OFF,0
11:51:49,82,60.7,21.9,81,11,414,OFF,0
11:51:50,83,60.7,21.9,81,10,417,OFF,0
11:51:51,84,60.7,21.9,81,7,408,OFF,0
11:51:52,85,60.7,21.9,81,10,413,OFF,0
11:51:53,86,60.7,21.9,81,11,410,OFF,0
11:51:54,87,60.8,21.9,81,8,409,OFF,0
11:51:55,88,60.8,21.9,81,13,404,OFF,0
11:51:56,89,60.8,21.9,81,11,419,OFF,0
11:51:57,90,60.8,21.9,81,9,412,OFF,0
11:51:58,91,60.8,21.9,82,13,412,OFF,0
11:51:59,92,60.8,21.9,82,18,417,OFF,0
11:52:00,93,60.8,21.9,81,14,408,OFF,0
11:52:01,94,60.8,21.9,81,14,411,OFF,0
11:52:02,95,60.8,21.9,81,13,405,OFF,0
11:52:03,96,60.8,21.9,81,9,403,OFF,0
11:52:04,97,60.8,21.9,81,12,405,OFF,0
11:52:05,98,60.8,21.9,81,7,403,OFF,0
11:52:06,99,60.8,21.9,81,10,404,OFF,0
11:52:07,100,60.8,21.9,81,6,403,OFF,0
11:52:08,101,60.8,21.9,81,13,412,OFF,0
11:52:09,102,60.8,21.9,81,10,405,OFF,0
11:52:10,103,60.8,21.9,81,12,418,OFF,0
11:52:11,104,60.9,21.9,81,9,402,OFF,0
11:52:12,105,60.9,21.9,81,15,407,OFF,0
11:52:13,106,60.9,21.9,81,12,410,OFF,0
11:52:14,107,60.9,21.9,81,7,400,OFF,0
11:52:15,108,60.9,21.9,81,6,400,OFF,0
11:52:16,109,60.9,21.9,81,9,407,OFF,0
11:52:17,110,60.9,21.9,81,13,406,OFF,0
11:52:18,111,60.9,21.9,81,8,407,OFF,0
11:52:19,112,60.9,21.9,81,7,403,OFF,0
11:52:20,113,60.9,21.9,81,13,402,OFF,0
11:52:21,114,60.9,21.9,81,10,406,OFF,0
11:52:22,115,60.9,21.9,81,5,401,OFF,0
11:52:23,116,60.9,21.9,81,4,400,OFF,0
11:52:24,117,60.9,21.9,81,8,408,OFF,0
11:52:25,118,60.9,21.9,81,10,413,OFF,0
11:52:26,119,60.9,21.9,81,12,408,OFF,0
11:52:27,120,60.9,21.9,82,8,403,OFF,0
11:52:28,121,60.9,21.9,82,11,405,OFF,0
11:52:29,122,60.9,21.9,81,7,400,OFF,0
11:52:30,123,60.9,21.9,81,10,403,OFF,0
11:52:31,124,60.9,21.9,82,9,402,OFF,0
11:52:32,125,60.9,21.9,82,11,409,OFF,0
11:52:33,126,60.9,21.9,81,10,403,OFF,0
11:52:34,127,60.9,21.9,82,9,401,OFF,0
11:52:35,128,60.9,21.9,82,7,401,OFF,0
11:52:36,129,60.9,21.9,81,13,409,OFF,0
11:52:37,130,60.9,21.9,81,7,407,OFF,0
11:52:38,131,60.9,21.9,82,11,413,OFF,0
11:52:39,132,61,21.9,81,13,402,OFF,0
11:52:40,133,61,21.9,82,5,400,OFF,0
11:52:41,134,61,21.9,82,15,402,OFF,0
11:52:42,135,61,21.9,82,7,400,OFF,0
11:52:43,136,61,21.9,82,5,401,OFF,0
11:52:44,137,61,21.9,82,10,401,OFF,0
11:52:45,138,61,21.9,81,3,400,OFF,0
11:52:46,139,61,21.9,81,9,406,OFF,0
11:52:47,140,61,21.9,81,6,404,OFF,0
11:52:48,141,61,21.9,81,2,406,OFF,0
11:52:49,142,61,21.8,82,14,414,OFF,0
11:52:50,143,61,21.8,81,13,408,OFF,0
11:52:51,144,61,21.8,81,10,403,OFF,0
11:52:52,145,61.1,21.8,81,9,405,OFF,0
11:52:53,146,61.1,21.8,81,13,409,OFF,0
11:52:54,147,61.2,21.8,82,5,403,OFF,0
11:52:55,148,61.2,21.8,82,9,403,OFF,0
11:52:56,149,61.2,21.8,82,5,400,OFF,0
11:52:57,150,61.2,21.8,82,3,406,OFF,0
11:52:58,151,61.3,21.8,82,8,406,OFF,0
11:52:59,152,61.3,21.8,81,5,408,OFF,0
11:53:00,153,61.3,21.8,81,2,400,OFF,0
11:53:01,154,61.3,21.8,82,6,404,OFF,0
11:53:02,155,61.3,21.8,82,0,404,OFF,0
11:53:03,156,61.3,21.8,82,5,407,OFF,0
11:53:04,157,61.3,21.8,82,9,407,OFF,0
11:53:05,158,61.3,21.8,82,6,406,OFF,0
11:53:06,159,61.4,21.8,82,1,402,OFF,0
11:53:07,160,61.4,21.8,82,5,403,OFF,0
11:53:08,161,61.4,21.8,81,5,406,OFF,0
11:53:09,162,61.4,21.8,82,2,406,OFF,0
11:53:10,163,61.4,21.8,82,6,400,OFF,0
11:53:11,164,61.4,21.8,82,1,405,OFF,0
11:53:12,165,61.5,21.8,82,5,405,OFF,0
11:53:13,166,61.5,21.8,82,6,409,OFF,0
11:53:14,167,61.5,21.8,81,1,410,OFF,0
11:53:15,168,61.5,21.8,82,4,406,OFF,0
11:53:16,169,61.5,21.8,82,8,416,OFF,0
11:53:17,170,61.5,21.8,82,3,404,OFF,0
11:53:18,171,61.5,21.8,82,2,402,OFF,0
11:53:19,172,61.5,21.8,82,4,401,OFF,0
11:53:20,173,61.5,21.8,82,2,408,OFF,0
11:53:21,174,61.5,21.8,82,9,407,OFF,0
11:53:22,175,61.5,21.7,82,8,407,OFF,0
11:53:23,176,61.5,21.7,82,10,407,OFF,0
11:53:24,177,61.5,21.7,82,7,401,OFF,0
11:53:25,178,61.5,21.7,82,10,409,OFF,0
11:53:26,179,61.5,21.7,82,3,409,OFF,0
11:53:27,180,61.6,21.8,82,3,400,OFF,0
11:53:28,181,61.6,21.8,82,5,401,OFF,0
11:53:29,182,61.5,21.7,81,4,400,OFF,0
11:53:30,183,61.5,21.7,82,5,407,OFF,0
11:53:31,184,61.6,21.7,82,5,401,OFF,0
11:53:32,185,61.6,21.7,81,6,412,OFF,0
11:53:33,186,61.6,21.7,82,5,402,OFF,0
11:53:34,187,61.6,21.7,82,4,410,OFF,0
11:53:35,188,61.6,21.7,81,6,410,OFF,0
11:53:36,189,61.6,21.7,82,2,406,OFF,0
11:53:37,190,61.6,21.7,81,8,404,OFF,0
11:53:38,191,61.6,21.7,81,0,400,OFF,0
11:53:39,192,61.6,21.7,82,6,400,OFF,0
11:53:40,193,61.6,21.7,82,4,404,OFF,0
