Time,Reading ID,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:00:00,1,40.7,22.7,80,0,400,OFF,0
0:00:02,2,39.1,22.7,80,0,400,OFF,0
0:00:04,3,39,22.7,80,0,400,OFF,0
0:00:06,4,39,22.7,80,0,400,OFF,0
0:00:08,5,39,22.7,80,0,400,OFF,0
0:00:10,6,38.9,22.6,80,0,400,OFF,0
0:00:12,7,38.9,22.7,80,0,400,OFF,0
0:00:14,8,38.9,22.7,80,0,400,OFF,0
0:00:16,9,38.8,22.7,79,2,400,OFF,0
0:00:18,10,38.6,22.7,80,0,400,OFF,0
0:00:20,11,38.5,22.7,79,0,400,OFF,0
0:00:22,12,38.3,22.7,79,3,408,OFF,0
0:00:24,13,38.3,22.7,78,1,408,OFF,0
0:00:26,14,38.3,22.7,78,0,403,OFF,0
0:00:28,15,38.3,22.7,79,0,403,OFF,1
0:00:30,16,38.2,22.6,78,10,412,OFF,1
0:00:32,17,38.3,22.7,79,0,400,OFF,1
0:00:34,18,38.3,22.7,79,0,401,OFF,1
0:00:36,19,38.3,22.7,79,0,404,OFF,1
0:00:38,20,38.2,22.7,79,0,410,OFF,1
0:00:40,21,38.2,22.7,78,0,403,OFF,1
0:00:42,22,38.1,22.7,78,1,403,OFF,1
0:00:44,23,38.1,22.7,78,0,400,OFF,1
0:00:46,24,38,22.6,78,2,400,OFF,1
0:00:48,25,38,22.7,78,0,400,OFF,1
0:00:50,26,37.9,22.6,78,5,419,OFF,1
0:00:52,27,37.9,22.6,78,2,418,OFF,1
0:00:54,28,37.8,22.6,78,3,408,OFF,1
0:00:56,29,37.8,22.6,78,4,411,OFF,1
0:00:58,30,37.8,22.6,78,3,419,OFF,1
0:01:00,31,37.8,22.6,78,0,412,OFF,1
0:01:02,32,37.8,22.6,78,6,418,OFF,1
0:01:04,33,37.9,22.6,78,5,415,OFF,1
0:01:06,34,37.9,22.6,78,2,417,OFF,1
0:01:08,35,37.9,22.6,78,0,407,OFF,1
0:01:10,36,37.9,22.6,78,5,418,OFF,1
0:01:12,37,37.9,22.6,78,0,415,OFF,1
0:01:14,38,37.9,22.6,77,9,418,OFF,1
0:01:16,39,37.9,22.6,77,8,413,OFF,1
0:01:18,40,37.9,22.6,78,7,412,OFF,1
0:01:20,41,38,22.6,78,8,412,OFF,1
0:01:22,42,38,22.6,77,7,413,OFF,1
0:01:24,43,38,22.6,77,13,417,OFF,1
0:01:26,44,38,22.6,77,6,415,OFF,1
0:01:28,45,38,22.6,77,1,408,OFF,1
0:01:30,46,38,22.6,77,7,411,OFF,1
0:01:32,47,38,22.6,77,16,420,OFF,1
0:01:34,48,38,22.6,77,13,413,OFF,1
0:01:36,49,38,22.6,77,13,413,OFF,1
0:01:38,50,38,22.6,77,12,411,OFF,1
0:01:40,51,38,22.6,77,14,414,OFF,1
0:01:42,52,38,22.6,77,13,415,OFF,1
0:01:44,53,38,22.6,77,18,418,OFF,1
0:01:46,54,38,22.6,77,17,420,OFF,1
0:01:48,55,38,22.6,77,16,418,OFF,1
0:01:50,56,38,22.6,77,14,417,OFF,1
0:01:52,57,38,22.6,77,17,421,OFF,1
0:01:54,58,38,22.6,78,15,420,OFF,1
0:01:56,59,38,22.6,77,12,420,OFF,1
0:01:58,60,38,22.6,77,22,430,OFF,1
0:02:00,61,38,22.6,78,16,426,OFF,1
0:02:02,62,38,22.6,77,22,422,OFF,1
0:02:04,63,38,22.6,77,22,426,OFF,1
0:02:06,64,38,22.6,77,15,425,OFF,1
0:02:08,65,38,22.6,77,24,431,OFF,1
0:02:10,66,38,22.6,78,22,429,OFF,1
0:02:12,67,38,22.6,77,28,434,OFF,1
