Time,Reading ID,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:01:51,112,39.9,21.8,129,509,1758,OFF,1
0:01:52,113,39.9,21.8,129,503,1752,OFF,1
0:01:53,114,39.9,21.8,129,519,1772,OFF,1
0:01:54,115,39.9,21.8,130,515,1797,OFF,1
0:01:55,116,39.9,21.8,130,528,1812,OFF,1
0:01:56,117,39.9,21.8,130,529,1830,OFF,1
0:01:57,118,39.9,21.8,130,538,1848,OFF,1
0:01:58,119,39.9,21.8,131,533,1844,OFF,1
0:01:59,120,39.9,21.8,131,533,1842,OFF,1
0:02:00,121,39.9,21.8,132,545,1871,OFF,1
0:02:01,122,39.9,21.7,132,550,1927,OFF,1
0:02:02,123,39.9,21.7,133,551,1940,OFF,1
0:02:03,124,39.9,21.7,133,564,1956,OFF,1
0:02:04,125,39.9,21.7,134,574,1941,OFF,1
0:02:05,126,39.9,21.7,134,582,1968,OFF,1
0:02:06,127,39.9,21.7,134,575,1969,OFF,1
0:02:07,128,39.9,21.8,134,579,1950,OFF,1
0:02:08,129,39.9,21.8,134,583,1947,OFF,1
0:02:09,130,39.9,21.8,134,582,1928,OFF,1
0:02:10,131,39.9,21.8,134,581,1911,OFF,1
0:02:11,132,39.9,21.7,134,575,1894,OFF,1
0:02:12,133,39.9,21.7,134,585,1921,OFF,1
0:02:13,134,40,21.8,134,594,1913,OFF,1
0:02:14,135,40,21.8,134,581,1900,OFF,1
0:02:15,136,40,21.7,135,588,1897,OFF,1
0:02:16,137,40,21.7,135,581,1909,OFF,1
0:02:17,138,40,21.7,135,577,1908,OFF,1
0:02:18,139,40,21.7,135,579,1922,OFF,1
0:02:19,140,40,21.7,135,581,1903,OFF,1
0:02:20,141,40,21.7,135,591,1916,OFF,1
0:02:21,142,40,21.7,135,596,1913,OFF,1
0:02:22,143,40,21.7,135,581,1939,OFF,1
0:02:23,144,40,21.7,136,591,1928,OFF,1
0:02:24,145,40,21.7,136,601,1943,OFF,1
0:02:25,146,40,21.7,136,609,1966,OFF,1
0:02:26,147,40,21.7,136,609,1971,OFF,1
0:02:27,148,40,21.7,136,612,2004,OFF,1
0:02:28,149,40,21.7,136,625,2019,OFF,1
0:02:29,150,40,21.7,137,633,2042,OFF,1
0:02:30,151,40,21.7,137,644,2051,OFF,1
0:02:31,152,40,21.7,137,632,2111,OFF,1
0:02:32,153,40,21.7,138,640,2148,OFF,1
0:02:33,154,40,21.7,138,661,2155,OFF,1
0:02:34,155,40,21.7,139,660,2173,OFF,1
0:02:35,156,40,21.7,139,679,2231,OFF,1
0:02:36,157,40,21.7,140,675,2222,OFF,1
0:02:37,158,40,21.7,140,684,2254,OFF,1
0:02:38,159,40,21.7,140,681,2256,OFF,1
0:02:39,160,40,21.7,140,700,2268,OFF,1
0:02:40,161,40,21.7,140,704,2285,OFF,1
0:02:41,162,40,21.7,140,705,2298,OFF,1
0:02:42,163,40.1,21.7,140,728,2288,OFF,1
0:02:43,164,40.1,21.7,140,728,2290,OFF,1
0:02:44,165,40.1,21.7,140,721,2273,OFF,1
0:02:45,166,40.1,21.7,140,725,2254,OFF,1
0:02:46,167,40.1,21.7,141,710,2187,OFF,1
0:02:47,168,40.1,21.7,140,720,2217,OFF,1
0:02:48,169,40.1,21.7,140,718,2200,OFF,1
0:02:49,170,40.1,21.7,141,707,2192,OFF,1
0:02:50,171,40.1,21.7,141,711,2182,OFF,1
0:02:51,172,40.1,21.7,141,725,2219,OFF,1
0:02:52,173,40.1,21.7,141,727,2249,OFF,1
0:02:53,174,40.1,21.7,141,738,2249,OFF,1
0:02:54,175,40.2,21.7,141,726,2239,OFF,1
0:02:55,176,40.2,21.7,141,742,2271,OFF,1
0:02:56,177,40.2,21.7,141,749,2357,OFF,1
0:02:57,178,40.2,21.7,142,726,2406,OFF,1
0:02:58,179,40.2,21.7,142,742,2433,OFF,1
0:02:59,180,40.2,21.7,142,754,2440,OFF,1
0:03:00,181,40.1,21.7,143,738,2450,OFF,1
0:03:01,182,40.1,21.7,142,750,2445,OFF,1
0:03:02,183,40.1,21.7,142,769,2494,OFF,1
0:03:03,184,40.1,21.7,143,780,2482,OFF,1
0:03:04,185,40.1,21.7,143,776,2504,OFF,1
0:03:05,186,40.1,21.7,143,780,2489,OFF,1
0:03:06,187,40.2,21.7,143,785,2496,OFF,1
0:03:07,188,40.2,21.7,143,784,2487,OFF,1
0:03:08,189,40.2,21.7,144,792,2477,OFF,1
0:03:09,190,40.2,21.7,143,779,2438,OFF,1
0:03:10,191,40.2,21.7,143,775,2462,OFF,1
0:03:11,192,40.2,21.7,144,772,2423,OFF,1
0:03:12,193,40.2,21.6,144,778,2455,OFF,1
0:03:13,194,40.2,21.6,144,786,2474,OFF,1
0:03:14,195,40.2,21.7,144,779,2479,OFF,1
0:03:15,196,40.2,21.7,144,781,2509,OFF,1
0:03:16,197,40.2,21.7,144,794,2560,OFF,1
0:03:17,198,40.2,21.7,144,793,2553,OFF,1
0:03:18,199,40.2,21.7,144,783,2523,OFF,1
0:03:19,200,40.2,21.7,144,792,2504,OFF,1
