Time,Reading ID,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:00:00,1,43.5,21.3,98,0,400,OFF,0
0:00:01,2,43.5,21.3,97,0,400,OFF,0
0:00:02,3,43.6,21.4,97,0,400,OFF,0
0:00:03,4,43.6,21.4,97,0,400,OFF,0
0:00:04,5,43.7,21.4,98,0,400,OFF,0
0:00:05,6,43.7,21.4,98,0,400,OFF,0
0:00:06,7,43.7,21.4,98,0,400,OFF,0
0:00:07,8,43.7,21.4,98,0,400,OFF,0
0:00:08,9,43.6,21.4,98,0,400,OFF,0
0:00:09,10,43.6,21.4,98,0,400,OFF,0
0:00:10,11,43.7,21.4,98,0,400,OFF,0
0:00:11,12,43.7,21.4,98,0,400,OFF,0
0:00:12,13,43.7,21.4,98,0,400,OFF,0
0:00:13,14,43.7,21.4,98,0,400,OFF,0
0:00:14,15,43.7,21.4,98,0,400,OFF,0
0:00:15,16,43.7,21.4,98,0,400,OFF,0
0:00:16,17,43.7,21.4,98,3,401,OFF,0
0:00:17,18,43.7,21.4,98,6,402,OFF,0
0:00:18,19,43.6,21.4,97,9,412,OFF,0
0:00:19,20,43.6,21.4,98,11,405,OFF,0
0:00:20,21,43.6,21.4,97,11,405,OFF,0
0:00:21,22,43.6,21.4,98,11,408,OFF,0
0:00:22,23,43.6,21.4,97,13,408,OFF,0
0:00:23,24,43.6,21.4,98,12,416,OFF,0
0:00:24,25,43.6,21.4,98,13,404,OFF,0
0:00:25,26,43.6,21.4,98,14,406,OFF,0
0:00:26,27,43.6,21.4,98,17,404,OFF,0
0:00:27,28,43.6,21.4,97,15,400,OFF,0
0:00:28,29,43.6,21.4,97,11,406,OFF,0
0:00:29,30,43.6,21.4,97,17,413,OFF,0
0:00:30,31,43.6,21.4,98,9,405,OFF,0
0:00:31,32,43.6,21.5,97,15,403,OFF,0
0:00:32,33,43.6,21.5,98,11,413,OFF,0
0:00:33,34,43.6,21.4,97,11,412,OFF,0
0:00:34,35,43.6,21.4,98,17,414,OFF,0
0:00:35,36,43.6,21.4,98,18,410,OFF,0
0:00:36,37,43.6,21.4,98,19,415,OFF,0
0:00:37,38,43.6,21.4,97,18,409,OFF,0
0:00:38,39,43.6,21.4,98,21,412,OFF,0
0:00:39,40,43.7,21.5,98,11,415,OFF,0
0:00:40,41,43.7,21.5,98,14,411,OFF,0
0:00:41,42,43.7,21.5,97,14,404,OFF,0
0:00:42,43,43.7,21.5,98,14,402,OFF,0
0:00:43,44,43.7,21.5,98,15,400,OFF,0
0:00:44,45,43.7,21.5,98,9,401,OFF,0
0:00:45,46,43.7,21.5,98,10,404,OFF,0
0:00:46,47,43.7,21.5,98,12,400,OFF,0
0:00:47,48,43.7,21.5,98,11,401,OFF,0
0:00:48,49,43.7,21.5,98,14,400,OFF,0
0:00:49,50,43.7,21.5,98,10,400,OFF,0
0:00:50,51,43.7,21.5,98,10,401,OFF,0
0:00:51,52,43.7,21.5,98,9,400,OFF,1
0:00:52,53,43.7,21.5,98,11,400,OFF,1
0:00:53,54,43.7,21.5,97,10,401,OFF,1
0:00:54,55,43.7,21.5,98,12,411,OFF,1
0:00:55,56,43.6,21.5,97,11,412,OFF,1
0:00:56,57,43.6,21.5,98,3,415,OFF,1
0:00:57,58,43.6,21.5,98,9,419,OFF,1
0:00:58,59,43.6,21.5,98,7,422,OFF,1
0:00:59,60,43.6,21.5,98,10,437,OFF,1
0:01:00,61,43.6,21.5,99,8,450,OFF,1
0:01:01,62,43.6,21.5,98,11,461,OFF,1
0:01:02,63,43.6,21.5,100,11,470,OFF,1
0:01:03,64,43.6,21.5,100,23,529,OFF,1
0:01:04,65,43.6,21.5,101,25,586,OFF,1
0:01:05,66,43.6,21.5,101,31,591,OFF,1
0:01:06,67,43.6,21.5,102,36,601,OFF,1
0:01:07,68,43.6,21.5,103,43,596,OFF,1
0:01:08,69,43.6,21.5,102,47,592,OFF,1
0:01:09,70,43.6,21.5,103,58,612,OFF,1
0:01:10,71,43.6,21.5,103,55,612,OFF,1
0:01:11,72,43.6,21.5,104,61,596,OFF,1
0:01:12,73,43.6,21.5,104,57,582,OFF,1
0:01:13,74,43.6,21.5,103,55,561,OFF,1
0:01:14,75,43.6,21.5,104,58,551,OFF,1
0:01:15,76,43.6,21.5,103,54,546,OFF,1
0:01:16,77,43.6,21.5,104,59,544,OFF,1
0:01:17,78,43.6,21.5,103,63,554,OFF,1
0:01:18,79,43.6,21.5,104,59,547,OFF,1
0:01:19,80,43.6,21.5,104,60,561,OFF,1
0:01:20,81,43.6,21.5,104,56,568,OFF,1
0:01:21,82,43.6,21.5,105,66,581,OFF,1
0:01:22,83,43.6,21.5,105,64,573,OFF,1
0:01:23,84,43.6,21.5,104,66,571,OFF,1
0:01:24,85,43.6,21.5,105,69,570,OFF,1
0:01:25,86,43.6,21.5,105,70,565,OFF,1
0:01:26,87,43.6,21.5,105,71,581,OFF,1
0:01:27,88,43.6,21.5,105,71,587,OFF,1
0:01:28,89,43.7,21.5,105,72,608,OFF,1
0:01:29,90,43.7,21.5,105,66,617,OFF,1
0:01:30,91,43.7,21.5,106,76,623,OFF,1
0:01:31,92,43.7,21.5,106,75,627,OFF,1
0:01:32,93,43.7,21.4,107,87,634,OFF,1
0:01:33,94,43.7,21.4,107,85,630,OFF,1
0:01:34,95,43.8,21.5,106,85,631,OFF,1
0:01:35,96,43.8,21.5,107,85,654,OFF,1
0:01:36,97,43.8,21.5,107,87,675,OFF,1
0:01:37,98,43.8,21.5,108,95,686,OFF,1
0:01:38,99,43.8,21.5,106,101,699,OFF,1
0:01:39,100,43.8,21.5,107,109,702,OFF,1
0:01:40,101,43.8,21.5,107,117,712,OFF,1
0:01:41,102,43.8,21.5,108,114,719,OFF,1
0:01:42,103,43.8,21.5,109,119,750,OFF,1
0:01:43,104,43.9,21.5,109,124,747,OFF,1
0:01:44,105,43.9,21.5,110,137,762,OFF,1
