Time,Reading ID,Humidity ,Temperature  , MQ139,  TVOC, eCO2 , Detector,Status
15:08:22,115,61.7,23.2,104,47,442,OFF,0
15:08:23,116,61.7,23.2,104,50,442,OFF,0
15:08:24,117,61.7,23.2,104,48,442,OFF,0
15:08:25,118,61.7,23.2,104,53,442,OFF,0
15:08:26,119,61.7,23.2,104,57,444,OFF,0
15:08:27,120,61.7,23.2,104,50,445,OFF,0
15:08:28,121,61.7,23.2,105,45,441,OFF,0
15:08:29,122,61.7,23.2,104,45,447,OFF,0
15:08:30,123,61.7,23.2,104,56,447,OFF,0
15:08:31,124,61.7,23.2,105,50,455,OFF,0
15:08:32,125,61.7,23.2,105,52,460,OFF,0
15:08:33,126,61.7,23.2,105,56,475,OFF,0
15:08:34,127,61.7,23.2,105,58,479,OFF,0
15:08:35,128,61.9,23.2,106,59,478,OFF,0
15:08:36,129,62,23.2,106,61,473,OFF,0
15:08:37,130,62.3,23.2,106,64,473,OFF,0
15:08:38,131,62.4,23.2,105,58,464,OFF,0
15:08:39,132,62.5,23.2,105,66,464,OFF,0
15:08:40,133,62.6,23.2,105,61,457,OFF,0
15:08:41,134,62.7,23.3,105,57,454,OFF,0
15:08:42,135,62.7,23.3,105,57,447,OFF,0
15:08:43,136,62.6,23.3,105,54,445,OFF,0
15:08:44,137,62.6,23.3,105,55,452,OFF,0
15:08:45,138,62.5,23.3,105,63,445,OFF,0
15:08:46,139,62.4,23.3,105,58,450,OFF,0
15:08:47,140,62.3,23.3,104,58,440,OFF,0
15:08:48,141,62.3,23.3,105,61,443,OFF,0
15:08:49,142,62.3,23.3,104,62,455,OFF,0
15:08:50,143,62.3,23.3,104,64,453,OFF,0
15:08:51,144,62.2,23.3,105,66,452,OFF,0
15:08:52,145,62.1,23.3,104,64,455,OFF,0
15:08:53,146,62.1,23.3,105,63,452,OFF,0
15:08:54,147,62,23.3,104,66,448,OFF,0
15:08:55,148,62,23.3,104,66,447,OFF,0
15:08:56,149,61.9,23.3,104,64,451,OFF,0
15:08:57,150,61.9,23.3,105,64,450,OFF,0
15:08:58,151,61.7,23.3,104,66,449,OFF,0
15:08:59,152,61.7,23.3,104,70,450,OFF,0
15:09:00,153,61.7,23.3,104,64,450,OFF,0
15:09:01,154,61.7,23.3,104,69,450,OFF,0
15:09:02,155,61.7,23.3,104,74,450,OFF,0
15:09:03,156,61.7,23.3,104,66,440,OFF,0
15:09:04,157,61.6,23.3,104,74,458,OFF,0
15:09:05,158,61.6,23.3,104,71,452,OFF,0
15:09:06,159,61.6,23.3,104,71,452,OFF,0
15:09:07,160,61.6,23.3,104,71,451,OFF,0
15:09:08,161,61.6,23.3,104,76,453,OFF,0
15:09:09,162,61.6,23.3,104,71,450,OFF,0
15:09:10,163,61.6,23.3,105,75,453,OFF,0
15:09:11,164,61.6,23.3,105,75,465,OFF,0
15:09:12,165,61.6,23.3,106,78,493,OFF,0
15:09:13,166,61.6,23.3,106,86,503,OFF,0
15:09:14,167,61.7,23.3,106,90,508,OFF,0
15:09:15,168,61.7,23.3,106,87,506,OFF,0
15:09:16,169,61.9,23.4,106,82,501,OFF,0
15:09:17,170,62.1,23.4,106,84,500,OFF,0
15:09:18,171,62.2,23.4,106,82,499,OFF,0
15:09:19,172,62.4,23.4,106,81,494,OFF,0
15:09:20,173,62.5,23.4,106,86,499,OFF,0
15:09:21,174,62.5,23.4,106,81,495,OFF,0
15:09:22,175,62.6,23.4,106,87,500,OFF,0
15:09:23,176,62.6,23.4,107,85,495,OFF,0
15:09:24,177,62.6,23.4,107,88,492,OFF,0
15:09:25,178,62.6,23.4,106,90,497,OFF,0
15:09:26,179,62.6,23.4,106,90,485,OFF,0
15:09:27,180,62.6,23.4,106,83,473,OFF,0
15:09:28,181,62.5,23.4,106,87,470,OFF,0
15:09:29,182,62.5,23.4,106,83,474,OFF,0
15:09:30,183,62.5,23.4,106,80,464,OFF,0
15:09:31,184,62.4,23.4,106,81,471,OFF,0
15:09:32,185,62.4,23.4,106,87,469,OFF,0
15:09:33,186,62.3,23.4,106,90,473,OFF,0
15:09:34,187,62.3,23.4,106,85,471,OFF,0
15:09:35,188,62.2,23.4,106,86,467,OFF,0
15:09:36,189,62.2,23.4,106,88,467,OFF,0
15:09:37,190,62.1,23.4,106,83,472,OFF,0
15:09:38,191,62.1,23.4,106,87,475,OFF,0
15:09:39,192,62,23.4,106,87,471,OFF,0
15:09:40,193,62,23.4,106,89,479,OFF,0
15:09:41,194,62,23.4,106,91,474,OFF,0
15:09:42,195,62,23.4,106,84,470,OFF,0
15:09:43,196,61.9,23.4,106,84,473,OFF,0
15:09:44,197,61.9,23.4,106,94,479,OFF,0
15:09:45,198,61.9,23.4,106,91,474,OFF,0
15:09:46,199,61.9,23.4,106,85,475,OFF,0
15:09:47,200,61.9,23.4,106,91,474,OFF,0
15:09:48,201,61.9,23.4,106,90,477,OFF,0
15:09:49,202,61.9,23.4,106,94,481,OFF,0
15:09:50,203,61.9,23.4,106,93,479,OFF,0
15:09:51,204,61.9,23.4,106,93,482,OFF,0
15:09:52,205,61.9,23.4,107,96,479,OFF,0
15:09:53,206,61.9,23.4,106,97,486,OFF,0
15:09:54,207,61.9,23.4,106,93,485,OFF,0
15:09:55,208,61.9,23.4,106,99,491,OFF,0
